function,depth,seed,snapped,final_loss,snappability,nan_epoch,converged,symbolic_form,expected_depth,post_snap_loss,valid_snap
exp,2,0,1,4.814355634152889e-06,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,1,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,2,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,3,1,0.6896381974220276,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,4,1,0.6881221532821655,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,5,1,0.6877624988555908,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,6,1,0.6881199479103088,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,7,1,0.6881253719329834,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,8,1,0.7063010931015015,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,9,1,0.6922848224639893,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,10,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,11,1,0.687762439250946,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,12,1,0.6896877884864807,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,13,1,0.687762439250946,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,14,1,0.689633846282959,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,15,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,16,1,0.695953369140625,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,17,1,0.6959550976753235,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,18,1,0.6922478675842285,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,19,1,0.6922470927238464,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,3,0,1,0.3094739615917206,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,3,1,1,0.31201744079589844,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,3,2,1,0.12540075182914734,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,3,1,0.10394500195980072,1.0,-1,0,"eml(x,x)",2,0.6877624988555908,0
exp,3,4,1,0.0711110308766365,1.0,-1,0,"eml(1,eml(1,x))",2,1.4040111303329468,0
exp,3,5,1,0.16442108154296875,1.0,-1,0,"eml(x,x)",2,0.6877624988555908,0
exp,3,6,1,0.0006605377420783043,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,7,1,0.16491377353668213,1.0,-1,0,"eml(x,x)",2,0.6877624988555908,0
exp,3,8,1,0.31237494945526123,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,3,9,1,0.31195908784866333,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
